Model,Mean_Pred,Actual_Default,Perfect
Ensemble,0.0854,0.0087,0.0854
Ensemble,0.1189,0.0157,0.1189
Ensemble,0.1462,0.022,0.1462
Ensemble,0.1736,0.0303,0.1736
Ensemble,0.2029,0.0392,0.2029
Ensemble,0.2355,0.0543,0.2355
Ensemble,0.2735,0.0726,0.2735
Ensemble,0.3184,0.1067,0.3184
Ensemble,0.3741,0.1566,0.3741
Ensemble,0.453,0.3013,0.453
Calibrated,0.0123,0.0086,0.0123
Calibrated,0.0168,0.0159,0.0168
Calibrated,0.0217,0.022,0.0217
Calibrated,0.0281,0.03,0.0281
Calibrated,0.0369,0.0393,0.0369
Calibrated,0.0498,0.0543,0.0498
Calibrated,0.0703,0.0726,0.0703
Calibrated,0.1044,0.1065,0.1044
Calibrated,0.1663,0.1567,0.1663
Calibrated,0.3002,0.3012,0.3002
