Feature,SHAP_Importance,Rank_SHAP,LGBM_Importance,Feature_Category
EXT_SOURCE_MEAN,0.3562360693509768,1,0,EXT_SOURCE
EXT_SOURCE_PROD,0.1589378711896847,2,6,EXT_SOURCE
BUREAU_DEBT_RATIO_MAX,0.12175521503400942,3,3,Bureau History
CODE_GENDER,0.11982834711857762,4,0,Other
CREDIT_ANNUITY_RATIO,0.10910332310886985,5,1,Financial Ratio
CREDIT_GOODS_RATIO,0.10865631077132061,6,1,Financial Ratio
AMT_ANNUITY,0.10035881848062753,7,0,Financial Ratio
NAME_EDUCATION_TYPE,0.09211813448921342,8,0,Other
INST_PAID_LATE_MEAN,0.09132053943151582,9,2,Installment
INST_AMT_PAYMENT_SUM,0.07787184684942361,10,0,Installment
EXT_SOURCE_WEIGHTED,0.0653012554749569,11,2,EXT_SOURCE
PREV_CNT_PAYMENT_MEAN,0.06226433310611894,12,0,Previous Loan
AMT_GOODS_PRICE,0.05423681981540617,13,0,Financial Ratio
INST_AMT_INSTALMENT_MAX,0.05388746621058532,14,0,Installment
NAME_FAMILY_STATUS,0.04871013637455704,15,0,Other
POS_SK_ID_PREV_COUNT,0.047360500766204384,16,0,Previous Loan
FLAG_OWN_CAR,0.047239082396695775,17,0,Risk Flag
PREV_CREDIT_GOODS_RATIO_MEAN,0.046543237076,18,1,Previous Loan
POS_CNT_INSTALMENT_MEAN,0.04571501766462855,19,0,POS/CC History
PREV_IS_REFUSED_MEAN,0.045236003244023965,20,1,Previous Loan
INST_DAYS_LATE_MEAN,0.04312304770407884,21,1,Time/Age
PREV_CREDIT_GOODS_RATIO_MAX,0.04227777453001899,22,1,Previous Loan
AGE_YEARS,0.04217133381915037,23,0,Time/Age
EXT_SOURCE_1,0.04148077538208918,24,0,EXT_SOURCE
REGION_POPULATION_RELATIVE,0.04138076034953403,25,0,Other
PREV_AMT_ANNUITY_MEAN,0.04057624846818756,26,0,Previous Loan
INST_PAYMENT_DEFICIT,0.040068376242388355,27,0,Installment
EMPLOYED_TO_AGE_RATIO,0.038914347292778116,28,2,Time/Age
BUREAU_AMT_CREDIT_SUM_MAX,0.038597927810352,29,0,Bureau History
FLAG_DOCUMENT_3,0.03839821329791908,30,0,Risk Flag
DAYS_EMPLOYED,0.03824082394225678,31,0,Time/Age
DAYS_BIRTH,0.03671998338572778,32,0,Time/Age
ORGANIZATION_TYPE,0.03594912064253888,33,0,Other
NAME_INCOME_TYPE,0.03384155730143153,34,0,Financial Ratio
DOCS_SUBMITTED_COUNT,0.03297564180055531,35,0,Other
OWN_CAR_AGE,0.03280728002572769,36,0,Time/Age
