Model,Curve,X,Y,ROC_AUC,PR_AUC
LightGBM,ROC,0.0,0.0,0.7275,0.193
LightGBM,ROC,0.0034,0.0191,0.7275,0.193
LightGBM,ROC,0.0081,0.0412,0.7275,0.193
LightGBM,ROC,0.0127,0.0644,0.7275,0.193
LightGBM,ROC,0.017,0.0874,0.7275,0.193
LightGBM,ROC,0.0214,0.1107,0.7275,0.193
LightGBM,ROC,0.029,0.1372,0.7275,0.193
LightGBM,ROC,0.0361,0.1597,0.7275,0.193
LightGBM,ROC,0.0445,0.1841,0.7275,0.193
LightGBM,ROC,0.0529,0.2097,0.7275,0.193
LightGBM,ROC,0.0606,0.2343,0.7275,0.193
LightGBM,ROC,0.064,0.2445,0.7275,0.193
LightGBM,ROC,0.0675,0.2555,0.7275,0.193
LightGBM,ROC,0.0719,0.2673,0.7275,0.193
LightGBM,ROC,0.0763,0.279,0.7275,0.193
LightGBM,ROC,0.0812,0.2936,0.7275,0.193
LightGBM,ROC,0.085,0.3035,0.7275,0.193
LightGBM,ROC,0.0899,0.3151,0.7275,0.193
LightGBM,ROC,0.0948,0.3263,0.7275,0.193
LightGBM,ROC,0.0987,0.3345,0.7275,0.193
LightGBM,ROC,0.1043,0.3479,0.7275,0.193
LightGBM,ROC,0.1082,0.3555,0.7275,0.193
LightGBM,ROC,0.1089,0.3568,0.7275,0.193
LightGBM,ROC,0.1108,0.3598,0.7275,0.193
LightGBM,ROC,0.1177,0.3718,0.7275,0.193
LightGBM,ROC,0.1219,0.3794,0.7275,0.193
LightGBM,ROC,0.1266,0.3868,0.7275,0.193
LightGBM,ROC,0.1292,0.3909,0.7275,0.193
LightGBM,ROC,0.1322,0.3967,0.7275,0.193
LightGBM,ROC,0.1365,0.4043,0.7275,0.193
LightGBM,ROC,0.1414,0.4134,0.7275,0.193
LightGBM,ROC,0.1474,0.423,0.7275,0.193
LightGBM,ROC,0.152,0.4305,0.7275,0.193
LightGBM,ROC,0.1574,0.4393,0.7275,0.193
LightGBM,ROC,0.1609,0.4444,0.7275,0.193
LightGBM,ROC,0.1749,0.4668,0.7275,0.193
LightGBM,ROC,0.1781,0.4727,0.7275,0.193
LightGBM,ROC,0.1829,0.4801,0.7275,0.193
LightGBM,ROC,0.1871,0.4872,0.7275,0.193
LightGBM,ROC,0.1909,0.4926,0.7275,0.193
LightGBM,ROC,0.1973,0.503,0.7275,0.193
LightGBM,ROC,0.2013,0.5087,0.7275,0.193
LightGBM,ROC,0.2074,0.5185,0.7275,0.193
LightGBM,ROC,0.2144,0.5279,0.7275,0.193
LightGBM,ROC,0.218,0.5331,0.7275,0.193
LightGBM,ROC,0.2185,0.5341,0.7275,0.193
